Country,LastUpdate,Category,Indicator (text in app),value
LVA,02.12.2020 8:45,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,02.12.2020 8:45,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,02.12.2020 8:45,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,02.12.2020 8:45,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,02.12.2020 8:45,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,02.12.2020 8:45,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,02.12.2020 8:45,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,02.12.2020 8:45,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ROU,02.12.2020 8:45,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,02.12.2020 8:45,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,02.12.2020 8:45,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,02.12.2020 8:45,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,02.12.2020 8:45,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,02.12.2020 8:45,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
AUT,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
HRV,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CYP,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
DNK,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
EST,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DEU,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
GRC,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ISL,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
IRL,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LVA,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LIE,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ROU,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,03.12.2020 14:40,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
AUT,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
HRV,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CYP,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
DNK,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
EST,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DEU,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
GRC,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ISL,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
IRL,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LVA,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LIE,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ROU,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,04.12.2020 14:24,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
AUT,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
HRV,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CYP,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
DNK,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
EST,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DEU,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
GRC,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ISL,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
IRL,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LVA,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LIE,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ROU,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,07.12.2020 10:11,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
AUT,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
HRV,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CYP,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
DNK,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
EST,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DEU,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
GRC,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ISL,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
IRL,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LVA,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LIE,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ROU,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,08.12.2020 23:13,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
AUT,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
HRV,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CYP,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
DNK,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
EST,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DEU,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
GRC,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ISL,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
IRL,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LVA,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LIE,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ROU,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,09.12.2020 12:19,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
AUT,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
HRV,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CYP,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
DNK,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
EST,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DEU,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
GRC,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ISL,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
IRL,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LVA,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LIE,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ROU,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,10.12.2020 14:49,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
AUT,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
HRV,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CYP,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
EST,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DNK,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
FIN,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DEU,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
GRC,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ISL,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
IRL,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LVA,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LIE,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ROU,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,11.12.2020 19:36,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
AUT,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
HRV,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CYP,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
DNK,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
EST,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DEU,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
GRC,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ISL,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
IRL,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LVA,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LIE,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ROU,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,14.12.2020 9:42,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
AUT,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
HRV,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CYP,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
DNK,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
EST,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
FRA,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DEU,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
GRC,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ISL,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
IRL,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,N
LVA,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LIE,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NOR,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ROU,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,15.12.2020 12:52,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
AUT,16.12.2020 9:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,16.12.2020 9:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,16.12.2020 9:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
HRV,16.12.2020 9:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CYP,16.12.2020 9:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
